name;brand;gender;scent_direction;top_notes;middle_notes;base_notes;season;personality;occasion;price
Sauvage;Dior;Male;Fresh;grapefruit, mint, pear;rose, lavender, sage;tonka bean, vanilla, cedarwood;All Year;Confident;Casual;Mid
Chanel No. 5;Chanel;Female;Floral;pear, grapefruit, lemon;sage, jasmine, violet;patchouli, vanilla, amber;Winter;Bold;Evening;High
Bleu de Chanel;Chanel;Male;Woody;pepper, mint, pear;violet, rose, lavender;patchouli, amber, tonka bean;All Year;Confident;Formal;High
Light Blue;Dolce & Gabbana;Female;Fruity;pepper, bergamot, mandarin;rose, tuberose, lavender;musk, sandalwood, patchouli;Summer;Playful;Daytime;Mid
Aventus;Creed;Male;Fruity;pear, lemon, mandarin;cardamom, lavender, rose;sandalwood, musk, cedarwood;All Year;Bold;Formal;High
Black Opium;Yves Saint Laurent;Female;Sweet;bergamot, mint, pear;tuberose, rose, violet;vanilla, cedarwood, musk;Winter;Confident;Night Out;Mid
Oud Wood;Tom Ford;Unisex;Woody;pepper, lemon, bergamot;cardamom, violet, tuberose;sandalwood, patchouli, tonka bean;Winter;Mysterious;Formal;High
Baccarat Rouge 540;Maison Francis Kurkdjian;Unisex;Sweet;pear, bergamot, mint;sage, tuberose, cardamom;tonka bean, musk, amber;Winter;Luxurious;Evening;High
Acqua di Gio;Armani;Male;Aquatic;mandarin, lemon, bergamot;rose, violet, sage;musk, amber, cedarwood;Summer;Relaxed;Casual;Mid
La Vie Est Belle;Lancôme;Female;Sweet;pepper, mandarin, bergamot;sage, tuberose, lavender;tonka bean, vanilla, amber;Autumn;Bold;Evening;Mid
Delina;Parfums de Marly;Female;Fruity;mandarin, bergamot, pear;violet, sage, cardamom;vanilla, musk, sandalwood;Spring;Artistic;Formal;High
Santal 33;Le Labo;Unisex;Woody;grapefruit, bergamot, mint;cardamom, jasmine, sage;amber, patchouli, vanilla;Autumn;Artistic;Evening;High
Fahrenheit;Dior;Male;Spicy;grapefruit, pepper, lemon;sage, lavender, violet;patchouli, amber, sandalwood;Autumn;Bold;Evening;Mid
Good Girl;Carolina Herrera;Female;Sweet;pepper, pear, mandarin;violet, cardamom, lavender;tonka bean, musk, cedarwood;Winter;Artistic;Night Out;Mid
By the Fireplace;Maison Margiela;Unisex;Woody;mandarin, grapefruit, pepper;lavender, jasmine, cardamom;sandalwood, patchouli, musk;Winter;Luxurious;Evening;Mid
Flowerbomb;Viktor & Rolf;Female;Floral;pear, mandarin, pepper;cardamom, tuberose, rose;tonka bean, musk, sandalwood;Spring;Romantic;Evening;Mid
Terre d’Hermès;Hermès;Male;Woody;pear, lemon, mandarin;tuberose, rose, violet;sandalwood, amber, tonka bean;Autumn;Sophisticated;Formal;High
My Way;Giorgio Armani;Female;Floral;mint, grapefruit, mandarin;lavender, jasmine, sage;amber, vanilla, patchouli;Spring;Sophisticated;Casual;Mid
Phantom;Paco Rabanne;Male;Fruity;mandarin, pepper, pear;rose, cardamom, violet;vanilla, amber, sandalwood;Summer;Sophisticated;Casual;Low
Gypsy Water;Byredo;Unisex;Woody;grapefruit, pear, pepper;sage, tuberose, cardamom;musk, vanilla, tonka bean;Summer;Artistic;Daytime;High
Daisy;Marc Jacobs;Female;Floral;pear, lemon, mandarin;jasmine, violet, sage;tonka bean, musk, amber;Spring;Playful;Daytime;Low
Libre;Yves Saint Laurent;Female;Floral;mandarin, pear, pepper;sage, jasmine, rose;tonka bean, patchouli, musk;Autumn;Relaxed;Evening;Mid
Idôle;Lancôme;Female;Floral;pepper, grapefruit, lemon;violet, sage, cardamom;tonka bean, vanilla, amber;Summer;Confident;Daytime;Mid
L’Homme;Yves Saint Laurent;Male;Woody;grapefruit, pear, pepper;tuberose, violet, rose;vanilla, musk, patchouli;Autumn;Mysterious;Evening;Mid
Infusion d'Iris;Prada;Female;Powdery;bergamot, lemon, pear;tuberose, lavender, violet;sandalwood, amber, vanilla;Spring;Playful;Daytime;High
Spicebomb;Viktor & Rolf;Male;Spicy;pear, bergamot, pepper;cardamom, sage, jasmine;vanilla, sandalwood, amber;Winter;Relaxed;Evening;Mid
Rose 31;Le Labo;Unisex;Floral;mint, bergamot, grapefruit;cardamom, violet, tuberose;cedarwood, vanilla, tonka bean;Spring;Romantic;Evening;High
Velvet Orchid;Tom Ford;Female;Floral;pear, mandarin, mint;sage, cardamom, lavender;sandalwood, amber, cedarwood;Winter;Luxurious;Evening;High
Wood Sage & Sea Salt;Jo Malone;Unisex;Aquatic;pepper, pear, mandarin;sage, lavender, cardamom;patchouli, tonka bean, cedarwood;Summer;Artistic;Daytime;Mid
Portrait of a Lady;Frederic Malle;Female;Floral;pepper, mandarin, lemon;lavender, rose, cardamom;musk, sandalwood, vanilla;Winter;Romantic;Formal;High
Memo Irish Leather;Memo Paris;Unisex;Woody;grapefruit, mint, pear;sage, rose, tuberose;sandalwood, vanilla, amber;Autumn;Luxurious;Formal;High
Green Irish Tweed;Creed;Male;Fresh;lemon, pepper, pear;cardamom, jasmine, rose;vanilla, cedarwood, sandalwood;Spring;Confident;Formal;High
Tam Dao;Diptyque;Unisex;Woody;mandarin, grapefruit, bergamot;lavender, sage, violet;vanilla, tonka bean, cedarwood;Autumn;Romantic;Daytime;High
Angels' Share;Kilian;Unisex;Spicy;pepper, pear, bergamot;violet, tuberose, cardamom;sandalwood, musk, tonka bean;Winter;Playful;Evening;High
L'Ombre Dans L'Eau;Diptyque;Unisex;Floral;grapefruit, pear, lemon;cardamom, sage, jasmine;vanilla, tonka bean, amber;Spring;Romantic;Daytime;High
Pure XS;Paco Rabanne;Male;Spicy;lemon, pear, mandarin;rose, jasmine, sage;amber, sandalwood, tonka bean;Winter;Sophisticated;Night Out;Mid
A*Men;Mugler;Male;Sweet;mint, mandarin, grapefruit;sage, rose, jasmine;amber, musk, patchouli;Winter;Artistic;Night Out;Low
Luna Rossa;Prada;Male;Fresh;mint, lemon, pepper;tuberose, lavender, sage;vanilla, tonka bean, cedarwood;Summer;Relaxed;Casual;Mid
Omnia Crystalline;Bvlgari;Female;Fresh;grapefruit, mandarin, bergamot;tuberose, sage, cardamom;musk, amber, patchouli;Spring;Subtle;Office;Mid
Mojave Ghost;Byredo;Unisex;Woody;mint, grapefruit, bergamot;jasmine, tuberose, lavender;musk, amber, cedarwood;Summer;Playful;Casual;High
Whispers in the Library;Maison Margiela;Unisex;Woody;pepper, lemon, grapefruit;cardamom, rose, violet;sandalwood, vanilla, amber;Autumn;Romantic;Evening;Mid
L’Interdit;Givenchy;Female;Floral;grapefruit, pepper, lemon;jasmine, tuberose, violet;vanilla, tonka bean, patchouli;Autumn;Mysterious;Evening;Mid
Boss Bottled;Hugo Boss;Male;Woody;pepper, bergamot, mint;sage, lavender, rose;vanilla, musk, cedarwood;All Year;Romantic;Office;Mid
Rose Prick;Tom Ford;Unisex;Floral;pepper, bergamot, mint;jasmine, lavender, cardamom;amber, musk, cedarwood;Spring;Luxurious;Evening;High
Herod;Parfums de Marly;Male;Spicy;pear, lemon, pepper;tuberose, cardamom, jasmine;tonka bean, amber, vanilla;Winter;Sophisticated;Evening;High
You;Glossier;Unisex;Powdery;grapefruit, lemon, bergamot;rose, violet, sage;tonka bean, sandalwood, amber;Spring;Romantic;Daytime;Low
L’Eau d’Issey;Issey Miyake;Female;Aquatic;pepper, mandarin, bergamot;violet, cardamom, tuberose;vanilla, sandalwood, amber;Summer;Artistic;Office;Mid
Allure Homme Sport;Chanel;Male;Fresh;pear, lemon, mint;rose, jasmine, cardamom;tonka bean, musk, amber;Summer;Sophisticated;Daytime;High
Black Orchid;Tom Ford;Unisex;Sweet;bergamot, grapefruit, mint;sage, violet, jasmine;patchouli, musk, vanilla;Winter;Luxurious;Night Out;High
Narciso Rodriguez for Her;Narciso Rodriguez;Female;Musk;lemon, mandarin, bergamot;tuberose, sage, cardamom;amber, tonka bean, patchouli;Spring;Playful;Romantic;Mid
Interlude Woman;Amouage;Female;Spicy;grapefruit, bergamot, pear;lavender, cardamom, tuberose;cedarwood, sandalwood, musk;Winter;Relaxed;Evening;High
Boss Alive;Hugo Boss;Female;Fruity;mint, pear, grapefruit;tuberose, rose, jasmine;sandalwood, patchouli, cedarwood;Spring;Sophisticated;Daytime;Mid
Y Eau de Parfum;YSL;Male;Fresh;pepper, mandarin, mint;cardamom, rose, violet;sandalwood, cedarwood, amber;Summer;Playful;Casual;Mid
Chance Eau Tendre;Chanel;Female;Fruity;mint, lemon, pepper;violet, jasmine, rose;musk, amber, patchouli;Spring;Bold;Daytime;High
Coco Mademoiselle;Chanel;Female;Citrus;pepper, mint, grapefruit;cardamom, violet, rose;vanilla, musk, tonka bean;All Year;Luxurious;Formal;High
Haltane;Parfums de Marly;Male;Woody;pepper, mint, bergamot;lavender, sage, rose;musk, amber, cedarwood;Autumn;Mysterious;Evening;High
Égoïste;Chanel;Male;Spicy;mandarin, mint, pear;violet, sage, lavender;cedarwood, tonka bean, amber;Winter;Subtle;Formal;High
Lovely;Sarah Jessica Parker;Female;Powdery;bergamot, mint, pear;jasmine, cardamom, tuberose;vanilla, sandalwood, patchouli;Spring;Playful;Daytime;Low
Nomade;Chloé;Female;Fruity;lemon, mandarin, bergamot;tuberose, cardamom, rose;sandalwood, cedarwood, musk;Autumn;Romantic;Daytime;Mid
Jazz Club;Maison Margiela;Unisex;Spicy;bergamot, pepper, grapefruit;lavender, sage, rose;patchouli, tonka bean, cedarwood;Winter;Mysterious;Evening;Mid
Paris – Édimbourg;Chanel;Unisex;Woody;grapefruit, pear, lemon;jasmine, lavender, rose;tonka bean, amber, patchouli;Spring;Sophisticated;Daytime;High
Nuit d’Issey;Issey Miyake;Male;Spicy;mint, pear, pepper;lavender, jasmine, cardamom;cedarwood, amber, patchouli;Winter;Mysterious;Evening;Mid
Essential;Lacoste;Male;Fresh;bergamot, pepper, pear;tuberose, jasmine, violet;musk, tonka bean, patchouli;Summer;Romantic;Daytime;Low
212 Men;Carolina Herrera;Male;Citrus;bergamot, lemon, mint;lavender, tuberose, cardamom;cedarwood, vanilla, sandalwood;Spring;Mysterious;Office;Mid
212 VIP Rosé;Carolina Herrera;Female;Fruity;bergamot, mandarin, pear;rose, sage, tuberose;vanilla, patchouli, cedarwood;Spring;Romantic;Night Out;Mid
Aoud Lemon Mint;Mancera;Unisex;Citrus;pear, lemon, bergamot;tuberose, lavender, rose;vanilla, patchouli, cedarwood;Summer;Mysterious;Evening;Mid
Intense Café;Montale;Unisex;Sweet;bergamot, lemon, grapefruit;rose, lavender, jasmine;vanilla, cedarwood, tonka bean;Winter;Bold;Evening;Mid
Idole Aura;Lancôme;Female;Floral;lemon, grapefruit, mint;cardamom, jasmine, lavender;vanilla, sandalwood, musk;Summer;Sophisticated;Daytime;Mid
La Capitale;Xerjoff;Unisex;Fruity;bergamot, grapefruit, mint;violet, tuberose, sage;amber, vanilla, sandalwood;Autumn;Relaxed;Evening;High
Aqua Celestia;Maison Francis Kurkdjian;Unisex;Fresh;pear, bergamot, lemon;sage, jasmine, cardamom;cedarwood, vanilla, musk;Spring;Relaxed;Daytime;High
Acqua di Parma Colonia;Acqua di Parma;Unisex;Citrus;mandarin, bergamot, pear;sage, rose, tuberose;vanilla, patchouli, musk;Summer;Confident;Daytime;High
Dior Homme;Dior;Male;Powdery;grapefruit, mint, pear;cardamom, rose, violet;vanilla, sandalwood, amber;Autumn;Confident;Office;High
Olympéa;Paco Rabanne;Female;Sweet;lemon, pear, pepper;violet, cardamom, jasmine;cedarwood, amber, musk;Summer;Mysterious;Evening;Mid
Aqua Universalis;Maison Francis Kurkdjian;Unisex;Fresh;mint, grapefruit, bergamot;sage, violet, tuberose;patchouli, amber, sandalwood;Spring;Bold;Office;High
Gentle Fluidity Gold;Maison Francis Kurkdjian;Unisex;Sweet;mint, grapefruit, pear;rose, sage, lavender;musk, amber, cedarwood;Winter;Subtle;Evening;High
Bvlgari Man in Black;Bvlgari;Male;Spicy;mandarin, mint, grapefruit;lavender, violet, sage;sandalwood, patchouli, musk;Winter;Mysterious;Evening;Mid
Eros;Versace;Male;Fresh;lemon, mandarin, grapefruit;jasmine, lavender, tuberose;musk, vanilla, sandalwood;Summer;Bold;Night Out;Mid
So Scandal!;Jean Paul Gaultier;Female;Floral;grapefruit, bergamot, mandarin;tuberose, cardamom, sage;tonka bean, vanilla, amber;Summer;Playful;Night Out;Mid
Armani Code;Armani;Male;Spicy;grapefruit, mandarin, mint;lavender, tuberose, cardamom;cedarwood, vanilla, tonka bean;Winter;Sophisticated;Evening;Mid
White Suede;Tom Ford;Unisex;Powdery;pepper, mint, pear;rose, lavender, tuberose;cedarwood, amber, musk;Spring;Subtle;Daytime;High
Cedrat Boise;Mancera;Unisex;Citrus;mandarin, pear, bergamot;jasmine, lavender, sage;tonka bean, musk, patchouli;Spring;Confident;Daytime;Mid
Lovely Garden;Dior;Female;Floral;pepper, bergamot, lemon;tuberose, violet, rose;tonka bean, sandalwood, musk;Spring;Romantic;Daytime;High
Bamboo;Gucci;Female;Woody;mint, grapefruit, lemon;violet, cardamom, rose;tonka bean, patchouli, cedarwood;Autumn;Bold;Office;Mid
Vetiver Extraordinaire;Frederic Malle;Unisex;Woody;mint, pepper, grapefruit;tuberose, rose, lavender;cedarwood, musk, vanilla;Autumn;Luxurious;Formal;High
Une Rose;Frederic Malle;Female;Floral;mint, lemon, bergamot;violet, jasmine, lavender;sandalwood, patchouli, tonka bean;Spring;Sophisticated;Evening;High
Orange Blossom;Jo Malone;Unisex;Citrus;bergamot, mandarin, pear;sage, lavender, cardamom;musk, vanilla, amber;Summer;Sophisticated;Daytime;High
Mitsouko;Guerlain;Female;Chypre;mint, mandarin, grapefruit;violet, cardamom, sage;musk, amber, cedarwood;Autumn;Romantic;Evening;High
Oud Satin Mood;Maison Francis Kurkdjian;Unisex;Sweet;mint, grapefruit, pear;tuberose, rose, jasmine;tonka bean, sandalwood, cedarwood;Winter;Luxurious;Formal;High
Infusion de Fleur d’Oranger;Prada;Unisex;Citrus;mandarin, pepper, lemon;violet, jasmine, lavender;sandalwood, cedarwood, amber;Spring;Sophisticated;Daytime;Mid
Vetiver;Guerlain;Male;Woody;pepper, bergamot, lemon;cardamom, rose, lavender;amber, sandalwood, cedarwood;Summer;Confident;Formal;High
Pure Poison;Dior;Female;White Floral;mint, lemon, pepper;lavender, tuberose, violet;tonka bean, sandalwood, amber;Winter;Artistic;Evening;High
Rose de Mai;Maison Lancôme;Female;Floral;grapefruit, pear, mandarin;cardamom, rose, lavender;musk, cedarwood, sandalwood;Spring;Romantic;Romantic;High
Dior Homme Intense;Dior;Male;Powdery;pepper, mint, bergamot;sage, cardamom, rose;patchouli, cedarwood, tonka bean;Autumn;Confident;Evening;High
Un Jardin sur le Nil;Hermès;Unisex;Citrus;mandarin, bergamot, mint;violet, tuberose, sage;musk, cedarwood, sandalwood;Summer;Relaxed;Daytime;High
Mandarino di Amalfi;Tom Ford;Unisex;Citrus;mint, mandarin, grapefruit;violet, rose, jasmine;amber, tonka bean, cedarwood;Summer;Subtle;Daytime;High
Musc Ravageur;Frederic Malle;Unisex;Spicy;bergamot, pepper, mint;rose, cardamom, tuberose;patchouli, cedarwood, musk;Winter;Luxurious;Evening;High
La Nuit de L'Homme;YSL;Male;Spicy;pear, bergamot, pepper;lavender, rose, cardamom;tonka bean, amber, cedarwood;Autumn;Relaxed;Evening;Mid
L’Heure Bleue;Guerlain;Female;Powdery;mint, pepper, grapefruit;violet, rose, lavender;musk, cedarwood, vanilla;Winter;Artistic;Evening;High
Beach Walk;Maison Margiela;Female;Fresh;lemon, grapefruit, pear;sage, lavender, tuberose;musk, patchouli, vanilla;Summer;Relaxed;Daytime;Mid
Iris Poudre;Frederic Malle;Female;Powdery;grapefruit, pear, pepper;sage, tuberose, rose;sandalwood, patchouli, musk;Spring;Mysterious;Formal;High
Le Male;Jean Paul Gaultier;Male;Sweet;mandarin, pear, pepper;lavender, cardamom, tuberose;musk, vanilla, patchouli;Winter;Bold;Night Out;Mid
Scandal;Jean Paul Gaultier;Female;Sweet;mint, pear, bergamot;sage, lavender, cardamom;amber, sandalwood, tonka bean;Winter;Subtle;Evening;Mid
La Belle;Jean Paul Gaultier;Female;Fruity;bergamot, pear, grapefruit;cardamom, violet, tuberose;tonka bean, vanilla, patchouli;Spring;Playful;Romantic;Mid
Le Beau;Jean Paul Gaultier;Male;Citrus;mint, pepper, grapefruit;cardamom, sage, jasmine;patchouli, musk, sandalwood;Summer;Playful;Casual;Mid
Divine;Jean Paul Gaultier;Female;Floral;pear, pepper, mandarin;violet, jasmine, rose;musk, sandalwood, amber;Spring;Sophisticated;Daytime;Mid
L'Interdit Rouge;Givenchy;Female;Spicy;bergamot, lemon, grapefruit;tuberose, violet, sage;sandalwood, vanilla, musk;Autumn;Artistic;Evening;Mid
Gentleman Eau de Parfum;Givenchy;Male;Woody;mandarin, pear, bergamot;violet, jasmine, cardamom;musk, sandalwood, patchouli;Autumn;Sophisticated;Evening;Mid
Irresistible;Givenchy;Female;Fruity;mandarin, pear, grapefruit;lavender, violet, tuberose;cedarwood, tonka bean, musk;Spring;Playful;Romantic;Mid
Hot Couture;Givenchy;Female;Spicy;pepper, pear, mint;sage, lavender, rose;sandalwood, patchouli, musk;Winter;Subtle;Night Out;Mid
Givenchy Pour Homme;Givenchy;Male;Woody;grapefruit, bergamot, pepper;lavender, rose, violet;amber, vanilla, musk;Spring;Artistic;Formal;Mid
The One;Dolce & Gabbana;Male;Spicy;bergamot, grapefruit, lemon;cardamom, violet, sage;amber, patchouli, cedarwood;Autumn;Sophisticated;Evening;Mid
The Only One;Dolce & Gabbana;Female;Sweet;mint, bergamot, grapefruit;sage, lavender, rose;patchouli, vanilla, musk;Autumn;Mysterious;Evening;Mid
Dolce Garden;Dolce & Gabbana;Female;Floral;mint, pear, grapefruit;violet, cardamom, rose;musk, tonka bean, cedarwood;Summer;Romantic;Daytime;Mid
K;Dolce & Gabbana;Male;Citrus;pepper, pear, lemon;jasmine, sage, rose;cedarwood, amber, sandalwood;Summer;Confident;Daytime;Mid
Light Blue Forever;Dolce & Gabbana;Unisex;Aquatic;bergamot, lemon, pear;violet, lavender, rose;vanilla, sandalwood, amber;Summer;Sophisticated;Casual;Mid
L’Homme Intense;Prada;Male;Powdery;grapefruit, pear, mandarin;cardamom, violet, lavender;musk, sandalwood, patchouli;Winter;Subtle;Formal;High
Candy;Prada;Female;Sweet;mint, grapefruit, mandarin;lavender, rose, tuberose;sandalwood, tonka bean, vanilla;Autumn;Playful;Evening;Mid
Luna Rossa Ocean;Prada;Male;Fresh;grapefruit, lemon, bergamot;jasmine, cardamom, tuberose;sandalwood, musk, vanilla;Summer;Relaxed;Daytime;Mid
Paradoxe;Prada;Female;Floral;pear, pepper, lemon;sage, lavender, cardamom;vanilla, patchouli, sandalwood;Spring;Subtle;Daytime;High
Amber Pour Homme;Prada;Male;Amber;pear, mint, pepper;rose, sage, lavender;patchouli, tonka bean, cedarwood;Autumn;Subtle;Evening;Mid
Burberry Hero;Burberry;Male;Woody;pear, mandarin, bergamot;jasmine, rose, tuberose;tonka bean, amber, sandalwood;Spring;Bold;Daytime;Mid
Burberry Her;Burberry;Female;Fruity;pear, grapefruit, mandarin;lavender, tuberose, cardamom;patchouli, tonka bean, musk;Spring;Luxurious;Casual;Mid
Burberry Touch;Burberry;Male;Fresh;grapefruit, bergamot, pear;violet, sage, cardamom;cedarwood, musk, patchouli;Summer;Playful;Office;Mid
London for Women;Burberry;Female;Floral;grapefruit, bergamot, pepper;lavender, tuberose, violet;musk, vanilla, patchouli;Winter;Relaxed;Evening;Low
My Burberry;Burberry;Female;Floral;bergamot, mint, grapefruit;lavender, rose, tuberose;sandalwood, vanilla, patchouli;Spring;Artistic;Daytime;Mid
Pour Homme;Versace;Male;Citrus;mint, lemon, pear;tuberose, violet, cardamom;musk, amber, patchouli;Summer;Relaxed;Daytime;Mid
Versace Woman;Versace;Female;Woody;mint, mandarin, lemon;violet, cardamom, sage;patchouli, cedarwood, musk;Spring;Sophisticated;Office;Mid
Versense;Versace;Female;Citrus;grapefruit, mint, pear;violet, jasmine, tuberose;cedarwood, tonka bean, musk;Summer;Luxurious;Daytime;Mid
Versace Eros Flame;Versace;Male;Spicy;mint, mandarin, bergamot;rose, lavender, violet;musk, sandalwood, patchouli;Winter;Subtle;Night Out;Mid
Crystal Noir;Versace;Female;Floral;lemon, grapefruit, mint;sage, violet, rose;sandalwood, tonka bean, cedarwood;Autumn;Luxurious;Evening;Mid
Armani Si;Armani;Female;Fruity;mint, bergamot, mandarin;sage, rose, cardamom;vanilla, patchouli, tonka bean;Autumn;Romantic;Evening;Mid
Acqua di Gio Profumo;Armani;Male;Aquatic;pepper, lemon, pear;rose, sage, jasmine;sandalwood, cedarwood, tonka bean;Summer;Playful;Formal;High
Stronger With You;Armani;Male;Sweet;grapefruit, pepper, mint;tuberose, rose, cardamom;vanilla, cedarwood, amber;Winter;Playful;Evening;Mid
My Way Intense;Armani;Female;Floral;pear, lemon, pepper;lavender, jasmine, sage;cedarwood, vanilla, patchouli;Spring;Confident;Formal;High
Code Luna;Armani;Female;Citrus;grapefruit, bergamot, pepper;lavender, violet, tuberose;sandalwood, amber, tonka bean;Spring;Subtle;Daytime;Mid